Alpha,train_score,test_score
2.45,0.6056166066643862,0.6042896814479797
2.46,0.605615456709824,0.6042888664116683
2.47,0.6056143031126193,0.6042880482220843
2.48,0.6056131458798919,0.6042872268854951
2.49,0.6056119850187471,0.6042864024081558
2.5,0.6056108205362769,0.6042855747963091
2.5100000000000002,0.6056096524395587,0.6042847440561852
2.52,0.6056084807356567,0.6042839101940018
2.5300000000000002,0.6056073054316204,0.6042830732159647
2.54,0.6056061265344865,0.6042822331282671
2.5500000000000003,0.6056049440512772,0.6042813899370898
2.56,0.6056037579890009,0.6042805436486014
2.57,0.6056025683546524,0.6042796942689582
2.58,0.6056013751552132,0.6042788418043046
2.59,0.6056001783976502,0.6042779862607724
2.6,0.6055989780889175,0.6042771276444815
2.61,0.6055977742359551,0.6042762659615395
2.62,0.6055965668456893,0.604275401218042
2.63,0.6055953559250337,0.6042745334200723
2.64,0.6055941414808872,0.6042736625737022
2.65,0.6055929235201358,0.6042727886849908
2.66,0.6055917020496521,0.6042719117599855
2.67,0.605590477076295,0.604271031804722
2.68,0.6055892486069099,0.6042701488252232
2.69,0.6055880166483292,0.604269262827501
2.7,0.6055867812073715,0.6042683738175552
2.71,0.6055855422908425,0.6042674818013729
2.72,0.6055842999055341,0.6042665867849305
2.73,0.6055830540582252,0.604265688774192
2.74,0.6055818047556817,0.6042647877751097
2.75,0.6055805520046555,0.6042638837936238
2.7600000000000002,0.6055792958118865,0.6042629768356633
2.77,0.6055780361841001,0.6042620669071452
2.7800000000000002,0.6055767731280097,0.6042611540139747
2.79,0.6055755066503147,0.6042602381620457
2.8000000000000003,0.605574236757702,0.60425931935724
2.81,0.6055729634568452,0.6042583976054279
2.82,0.6055716867544052,0.6042574729124685
2.83,0.6055704066570291,0.6042565452842087
2.84,0.6055691231713523,0.6042556147264844
2.85,0.605567836303996,0.6042546812451196
2.86,0.6055665460615691,0.6042537448459272
2.87,0.6055652524506677,0.604252805534708
2.88,0.6055639554778749,0.604251863317252
2.89,0.6055626551497606,0.6042509181993374
2.9,0.6055613514728828,0.6042499701867312
2.91,0.6055600444537856,0.6042490192851891
2.92,0.6055587340990015,0.6042480655004551
2.93,0.6055574204150493,0.6042471088382619
2.94,0.6055561034084358,0.6042461493043315
2.95,0.6055547830856546,0.604245186904374
2.96,0.6055534594531871,0.6042442216440884
2.97,0.6055521325175016,0.6042432535291624
2.98,0.6055508022850546,0.6042422825652731
2.99,0.6055494687622892,0.6042413087580853
3.0,0.6055481319556366,0.6042403321132539
3.0100000000000002,0.6055467918715149,0.6042393526364218
3.02,0.6055454485163303,0.604238370333221
3.0300000000000002,0.6055441018964763,0.6042373852092726
3.04,0.6055427520183339,0.6042363972701865
3.0500000000000003,0.6055413988882719,0.6042354065215614
3.06,0.6055400425126465,0.6042344129689854
3.0700000000000003,0.6055386828978016,0.6042334166180355
3.08,0.6055373200500689,0.6042324174742774
3.09,0.6055359539757681,0.604231415543266
3.1,0.6055345846812057,0.6042304108305456
3.11,0.605533212172677,0.6042294033416493
3.12,0.6055318364564646,0.6042283930820995
3.13,0.6055304575388387,0.6042273800574076
3.14,0.605529075426058,0.6042263642730743
3.15,0.6055276901243682,0.6042253457345892
3.16,0.6055263016400039,0.6042243244474317
3.17,0.6055249099791867,0.6042233004170698
3.18,0.6055235151481266,0.6042222736489615
3.19,0.6055221171530213,0.6042212441485533
3.2,0.6055207160000571,0.6042202119212816
3.21,0.6055193116954076,0.604219176972572
3.22,0.6055179042452348,0.6042181393078391
3.23,0.6055164936556888,0.6042170989324875
3.24,0.6055150799329074,0.6042160558519107
3.25,0.6055136630830175,0.6042150100714921
3.2600000000000002,0.6055122431121327,0.604213961596604
